name,total_enrollment,state,women_proportion,AIAN_proportion,Asian_proportion,Black_proportion,Hispanic_proportion,NHPI_proportion,White_proportion,MultiRace_proportion,Foreign_proportion,early_career_pay,stem_percent,net_cost,type,degree_length,in_state_total,out_of_state_total
Faulkner University,3335,Alabama,0.6002998500749626,0.0071964017991004,0.0056971514242878,0.4512743628185907,0.0212893553223388,0.0008995502248875,0.4551724137931034,0.0155922038980509,0.0146926536731634,39400,2,17140.0,Private,4 Year,29440,29440
Ferris State University,14600,Michigan,0.5304109589041096,0.0053424657534246,0.0141780821917808,0.0693835616438356,0.0380821917808219,0.0004794520547945,0.7796575342465754,0.0303424657534246,0.0300684931506849,50000,8,9294.0,Public,4 Year,22524,22524
Florida Atlantic University,30297,Florida,0.5702544806416477,0.0018813743935043,0.0435026570287487,0.1874112948476747,0.2394626530679605,0.0011882364590553,0.4631151599168234,0.030498069115754,0.0243588474106347,49400,15,8003.0,Public,4 Year,17935,33491
Florida Institute of Technology,6393,Florida,0.3300484905365243,0.0043797903957453,0.027217268887846,0.0833724386047239,0.0561551697168778,0.0026591584545596,0.3763491318629751,0.0151728452995463,0.351008916001877,58300,48,25237.0,Private,4 Year,54730,54730
Florida International University,49610,Florida,0.5595041322314049,0.0008466035073573,0.028905462608345,0.1204797419875025,0.6291271920983673,0.0011489619028421,0.1145535174360008,0.0210038298730094,0.0729490022172949,49600,16,8811.0,Public,4 Year,17440,29838
Florida State University,41226,Florida,0.549289283461893,0.0028137583078639,0.0249599767137243,0.0819143259108329,0.1599476058797846,0.0014311356910687,0.6419735118614467,0.0257846989763741,0.0454810071314219,50800,18,10676.0,Public,4 Year,17332,32499
Fordham University,15231,New York,0.5845315475018056,0.0011818002757533,0.0764230844987197,0.062963692469306,0.1233668176744796,0.0009848335631278,0.549208850370954,0.0275753397675792,0.124876895804609,58700,10,21699.0,Private,4 Year,70656,70656
Fort Hays State University,13825,Kansas,0.6052079566003616,0.0040506329113924,0.0094032549728752,0.0371790235081374,0.0634358047016274,0.0010849909584086,0.5924050632911393,0.0203254972875226,0.2576491862567812,45100,6,8021.0,Public,4 Year,13433,23501
Fort Lewis College,3791,Colorado,0.4869427591664468,0.2339752044315484,0.00633078343445,0.0081772619361646,0.1023476655236085,0.0021102611448166,0.5447111580058032,0.059878659984173,0.0139804800844104,48300,19,9777.0,Public,4 Year,18918,29574
Francis Marion University,3944,South Carolina,0.702079107505071,0.002789046653144,0.0119168356997971,0.4508113590263691,0.0141987829614604,0.0005070993914807,0.4827586206896552,0.0096348884381338,0.015973630831643,42900,18,13607.0,Public,4 Year,19108,29492
Franklin Pierce University,2275,New Hampshire,0.5626373626373626,0.0043956043956043,0.0158241758241758,0.0356043956043956,0.0175824175824175,0.0013186813186813,0.7608791208791209,0.0276923076923076,0.0237362637362637,47800,3,22857.0,Private,4 Year,50245,50245
Frostburg State University,5645,Maryland,0.5241806908768822,0.0010628875110717,0.0175376439326837,0.2596988485385296,0.0432240921169176,0.0008857395925597,0.5955713020372011,0.0395039858281665,0.0217891939769707,49600,19,13511.0,Public,4 Year,19374,33094
George Fox University,3786,Oregon,0.5641838351822503,0.0063391442155309,0.0351294241944004,0.0179609086106708,0.0694664553618594,0.0050184891706286,0.7060221870047544,0.0454305335446381,0.0427892234548335,51200,8,17979.0,Private,4 Year,47270,47270
