name,total_enrollment,state,women_proportion,AIAN_proportion,Asian_proportion,Black_proportion,Hispanic_proportion,NHPI_proportion,White_proportion,MultiRace_proportion,Foreign_proportion
Arizona State University -Skysong,13938,Arizona,0.6086239058688477,0.013201320132013201,0.03350552446549003,0.0832257138757354,0.17843306069737408,0.00502224135457024,0.632515425455589,0.036016645142775146,0.0012914334911752045
Arizona State University -West,3692,Arizona,0.6156554712892741,0.02275189599133261,0.05254604550379198,0.05254604550379198,0.2630010834236186,0.0027085590465872156,0.5352112676056338,0.03087757313109426,0.030606717226435536
Arizona Western College,7702,Arizona,0.5659568943131654,0.01194494936380161,0.011295767333160218,0.02921319137886263,0.6794339132692807,0.0029862373409504026,0.19137886263308232,0.011036094520903662,0.030641391846273694
Arkansas State University -Newport,2477,Arkansas,0.5922486879289464,0.0020185708518368995,0.002825999192571659,0.15542995559144127,0.03835284618490109,0.0008074283407347598,0.7299152200242228,0.035930561162696814,0.006459426725878078
Arkansas State University at Beebe,4140,Arkansas,0.5647342995169082,0.0036231884057971015,0.00748792270531401,0.04855072463768116,0.04710144927536232,0.0016908212560386474,0.8381642512077294,0.04516908212560387,0.006521739130434782
Arkansas State University at Jonesboro,13144,Arkansas,0.5931984175289106,0.005401704199634814,0.00776019476567255,0.13953134510042606,0.0222915398660986,0.0012172854534388314,0.7413268411442483,0.015900791235544734,0.05675593426658551
Arkansas Tech University,12002,Arkansas,0.557323779370105,0.010081653057823697,0.012831194800866523,0.07657057157140476,0.06065655724045992,0.0006665555740709882,0.776037327112148,0.025745709048491917,0.037410431594734214
Armstrong Atlantic State University,7094,Georgia,0.677614885819002,0.0016915703411333521,0.03242176487172258,0.24457287848886383,0.062306174231745136,0.0019734987313222443,0.595150831688751,0.03834226106568932,0.018325345362277982
Art Center College of Design,2045,California,0.4875305623471883,0.0019559902200488996,0.32567237163814183,0.012713936430317848,0.10562347188264058,0.004400977995110024,0.2097799511002445,0.040097799511002445,0.28361858190709044
Art Institute of Atlanta,2623,Georgia,0.4334731223789554,0.0,0.0003812428516965307,0.02249332825009531,0.0781547845977888,0.0,0.031643156690812045,0.0,0.001143728555089592
Art Institute of Pittsburgh-Online,9383,Pennsylvania,0.6016199509751678,0.013321965256314612,0.011723329425556858,0.19162314824682938,0.1116913567089417,0.007993179153788768,0.6056698284130875,0.0,0.0
Asheville-Buncombe Technical Community College,7507,North Carolina,0.5594778207006794,0.007859331290795258,0.009324630345011322,0.0626082323165046,0.05648061808978287,0.0017317170640735314,0.7987211935526841,0.01851605168509391,0.002131344078859731
Ashford University,51237,California,0.7048812381677304,0.009407264281671449,0.012588559049124657,0.3654975896324921,0.09352616273396179,0.007904444054101529,0.46052657259402385,0.030036887405585806,0.0018736459980092512
Ashland Community and Technical College,3345,Kentucky,0.5904334828101644,0.0038863976083707025,0.003288490284005979,0.014050822122571001,0.011061285500747383,0.00029895366218236175,0.9159940209267563,0.009865470852017937,0.0
Ashland University,5428,Ohio,0.540346352247605,0.0035003684598378776,0.006632277081798084,0.13411938098747236,0.024871039056742816,0.0009211495946941784,0.7606853352984525,0.013817243920412675,0.03887251289609433
