name,early_career_pay,stem_percent
University of Puget Sound,54200,21
Western Washington University,55000,16
Pacific Lutheran University,54500,20
Walla Walla University,53700,22
University of Washington-Tacoma Campus,56000,23
City University of Seattle,51500,4
Central Washington University,52700,13
Saint Martin's University,53200,29
Northwest University,50900,3
Whitworth University,49900,18
Bellevue College,50100,14
Eastern Washington University,49500,17
Cornish College of the Arts,49000,0
The Evergreen State College,47500,0
West Virginia University Institute of Technology,57100,40
West Virginia University,54400,22
Alderson Broaddus University,50600,15
Shepherd University,47100,12
West Virginia Wesleyan College,47000,21
Bethany College (West Virginia),46000,5
Wheeling Jesuit University,44800,5
University of Charleston,44600,4
Marshall University,45000,12
West Liberty University,42500,6
Davis & Elkins College,41100,10
West Virginia State University,41800,8
Concord University,41700,9
Fairmont State University,42900,7
Bluefield State College,43200,3
Ohio Valley University,38800,1
Glenville State College,37400,3
West Virginia University at Parkersburg,36700,3
Milwaukee School of Engineering,65700,69
Marquette University,57800,25
University of Wisconsin-Madison,57300,33
University of Wisconsin-Platteville,56800,38
Lawrence University,51500,25
Bellin College,55800,0
University of Wisconsin-Eau Claire,52100,14
Marian University (Wisconsin),46500,2
University of Wisconsin-Milwaukee,50600,17
Ripon College,46300,26
University of Wisconsin-Stout,50400,14
University of Wisconsin-Whitewater,48900,8
Saint Norbert College,49300,15
University of Wisconsin-La Crosse,49600,19
Edgewood College,49500,5
Carroll University,45600,14
Beloit College,47400,24
Carthage College,48900,17
University of Wisconsin-Oshkosh,47700,10
Cardinal Stritch University,47000,2
Wisconsin Lutheran College,46200,10
Viterbo University,46800,3
Concordia University-Wisconsin,46700,9
University of Wisconsin-Parkside,46000,17
University of Wisconsin-River Falls,47100,14
University of Wyoming,52400,25
