total_enrollment,women_proportion,Foreign_proportion,early_career_pay,stem_percent,net_cost,type,in_state_total,out_of_state_total
3672,0.2028867102396514,0.011165577,57000,20,20150,Private,53856,53856
2764,0.8639652677279306,0.01121563,48300,3,16113,Private,48750,48750
24148,0.6972005963226768,0.040127547,50200,9,23046,Private,44150,44150
20519,0.5812661435742482,0.031677957,51300,19,13165,Public,22706,34330
2978,0.5530557421087978,0.073203492,53100,21,10914,Private,71392,71392
3695,0.5112313937753721,0.062787551,54400,22,18400,Private,43910,43910
2475,0.4618181818181818,0,49700,41,14847,Private,30950,30950
3035,0.58583196,0.1637561779242174,47700,9,22677,Private,39922,39922
24932,0.550216589,0.032889459,50200,19,9244,Public,22492,41392
3481,0.5619074978454467,0.076702097,45900,8,14826,Private,37178,37178
4260,0.4629107981220657,0.010093897,61200,27,10201,Public,19045,37114
28886,0.4645849200304646,0.1108495464931108,56200,34,13506,Public,24021,42996
3242,0.6320172732880938,0.049969155,54500,20,18548,Private,52856,52856
3640,0.6337912087912088,0.037637363,50200,8,19516,Private,56826,56826
10792,0.4779466271312083,0.01352854,48500,7,9964,Private,20850,20850
2499,0.5990396158463386,0,42600,6,9786,Public,15462,15492
7479,0.5063511164594197,0.073271828,47100,8,8576,Public,15076,26420
4855,0.5198764160659114,0.025952626,47000,6,7514,Public,25199,33869
27696,0.5347703639514731,0.084091566,50800,16,10738,Public,19533,37488
8088,0.4536350148367952,0.2091988130563798,75200,48,8322,Private,65620,65620
4533,0.5587910875799691,0.021398632,58900,11,20806,Private,65090,65090
2248,0.702846975,0.059163701,49400,9,19761,Private,45544,45544
9035,0.616934145,0.022246818,55900,10,29248,Private,62500,62500
9798,0.5760359256991223,0.008573178,48900,10,10023,Public,20616,32251
6003,0.5595535565550558,0.016158587,51600,12,8809,Public,26824,36165
9208,0.6335794960903562,0.011728931,55500,13,18114,Private,48370,48370
6835,0.3040234089246525,0.1676664228237015,71300,78,24154,Private,69140,69140
8641,0.6898507117231801,0.00173591,47200,5,5779,Public,20758,33521
2449,0.6643527970600245,0.2944058799510004,55500,0,26136,Private,64360,64360
2054,0.5788704965920156,0.02872444,51900,25,19731,Private,59293,59293
6621,0.4302975381362331,0.2353118864219906,71000,45,6841,Private,61350,61350
5294,0.601435587,0.041367586,51600,5,19438,Private,56010,56010
2050,0.5965853658536585,0.028780488,48500,18,20584,Private,57720,57720
3002,0.5786142571618921,0.010992672,54000,11,14709,Private,47790,47790
4884,0.5057330057330057,0.0497543,52900,12,29661,Private,50412,50412
4030,0.6248138957816377,0.013895782,41400,11,9444,Public,15486,23826
3207,0.5862176488930465,0.069223573,49000,7,22856,Private,64495,64495
2388,0.2248743718592964,0.1210217755443886,75000,96,26623,Private,64637,64637
14778,0.5027743943700095,0.010556232,51100,21,21150,Public,26249,34891
7781,0.6667523454568821,0.045495438,55000,15,30555,Private,56730,56730
9829,0.5904975073761318,0.064299522,46400,12,10957,Public,20494,34401
2933,0.709853392,0,46900,2,17845,Private,49330,49330
17052,0.5866760497302369,0.057060755,54200,13,23882,Private,56174,56174
4112,0.6077334630350194,0.018725681,59900,5,26092,Private,62650,62650
2618,0.5897631779984721,0.046982429,52900,18,20413,Private,57595,57595
3302,0.6141732283464567,0.02241066,52900,14,11786,Private,52900,52900
4073,0.6881905229560521,0.003191751,49400,10,14091,Private,45220,45220
8770,0.585860889,0.017559863,50400,12,9118,Public,21774,31476
2739,0.6827309236947792,0.018985031,53000,6,23047,Private,55050,55050
4933,0.6247719440502737,0.031015609,48400,3,14826,Private,42200,42200
32713,0.4963775868920612,0.1094366154128328,63000,28,12596,Public,24238,33742
9015,0.5003882418191903,0.1345535219079312,69900,29,27218,Private,66621,66621
11347,0.6437824975764519,0.1937957169295849,46800,3,28819,Private,51180,51180
4217,0.676547309,0.036755988,53600,9,20405,Private,54735,54735
7273,0.5976900866217517,0.091159082,60600,12,22727,Private,56898,56898
9627,0.5860600394723174,0.042276929,57100,8,21075,Private,58270,58270
3693,0.6404007581911725,0.048470079,48700,7,20904,Private,42900,42900
4041,0.5944073249195744,0.00494927,47100,12,9246,Public,18048,28548
2989,0.9792572766811642,0.1298093007694881,52700,26,13638,Private,69924,69924
3331,0.5565896127289103,0.001501051,44500,16,16942,Public,20950,31640
2798,0.2205146533238027,0.055039314,66500,92,12341,Public,18219,22461
12543,0.5344813840389062,0.05580802,50500,18,11317,Public,16660,20024
12087,0.5730950608091337,0.08778026,43700,9,8471,Public,16353,22090
14487,0.621660799,0.016635604,46700,8,6907,Public,16585,29063
3878,0.5420319752449716,0.025012893,45000,15,7491,Public,13720,22360
3175,0.5763779527559055,0.050393701,47500,9,16204,Private,28890,28890
10825,0.6365819861431871,0.004896074,48500,6,10152,Public,23735,34975
11272,0.4795067423704755,0.1315649396735273,59700,22,18001,Private,71338,71338
2254,0.5217391304347826,0.031943212,46100,5,11639,Private,33684,33684
43274,0.6075934741415169,0.028908814,47400,8,24197,Private,44256,44256
5954,0.5829694323144105,0.025193147,46000,6,10231,Public,22853,38783
2103,0.7622444127436995,0,40100,13,6548,Public,18411,20200
4994,0.5865038045654786,0.03504205,47900,5,7927,Public,12865,19765
2311,0.7347468628299437,0.003461705,44800,0,14502,Private,32100,32100
2135,1,0.01498829,50200,24,28665,Private,43179,43179
